"Sigla","Cod_provincia_ISTAT","nM","mV","nF","fV","vr","logvr","sesso","minn","SE","Coort","Year","Grade","gamlssSE","Regioni","Provincia","TassoOccup_MeanM","TassoOccup_MeanF","TassoOccup_MeanT","ValAgg_Mean","AmmDonne_X2009","AmmDonne_X2010","AmmDonne_X2011","AmmDonne_X2012","AmmDonne_X2013","AmmDonne_X2014","AmmDonne_X2015","AmmDonne_X2016","AmmDonne_X2017","AmmDonne_X2018","AmmDonne_X2019","AmmDonne_X2020","AmmDonne_X2021","AmmDonne_X2022","AmmDonne_Mean","Filter"
"VC",2,574,1731.25886628879,527,1520.84649534343,1.13835214243489,0.129581727586999,-1.10559839160206,527,0.0871213683738064,9,2021,5,0.443202630213959,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,647,1438.92162046843,656,1188.08157358858,1.21113032341895,0.191554075146501,0.126767772197814,647,0.0786281133970752,17,1819,13,0.0515911975317645,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,621,2223.17956480576,617,1883.1463574111,1.1805665322063,0.165994435299906,3.45784263947036,617,0.0805169682228475,4,1516,5,0.23258023830812,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,631,2322.94240679705,640,2386.65167937151,0.973306003081591,-0.0270567518079054,-0.831248564841205,631,0.0796187428658033,5,1314,2,0.212177183241089,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,731,1649.88881749205,647,1348.49081068385,1.22350764604421,0.201721853202037,0.152648699261863,647,0.0786281133970752,6,2021,8,0.5,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,700,1622.4615358095,644,1557.82883923087,1.04148895883231,0.0406513804455223,1.24187857969466,644,0.0788110406239101,2,1617,8,NA,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,586,1903.05009217757,546,1554.85040316898,1.22394417385681,0.202078573455872,2.08190515408717,546,0.0855920985021826,10,2122,5,0.324893144826965,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,688,1478.15458688105,583,929.90399199659,1.58957763339344,0.463468341568557,0.208086880975169,583,0.0828315366562582,5,2122,10,0.645497224367903,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,613,1770.4612570985,609,1506.7935405245,1.17498596156857,0.161256199923533,1.85677351984144,609,0.0810440898473108,11,2223,5,0.377964473009227,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,671,1488.71400530769,677,1198.41293323542,1.24223793320431,0.216914537791863,0.0116018342506765,671,0.0772091436482183,7,2122,8,0.356348322549899,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,694,1632.06022978195,632,1664.36523308862,0.980590195790905,-0.0196006479886507,0.0963873398850744,632,0.079555728417573,18,1415,8,0.221456682448187,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,685,1495.38158122193,598,1318.62047434545,1.13405002448807,0.125795317637774,0.346206832851335,598,0.0817860820109531,18,1617,10,NA,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,617,1669.05431330236,567,1527.2895066229,1.09282117507173,0.088762586542458,-1.11080944001223,567,0.0839921051131616,9,1718,2,0.0943221018460621,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,539,1538.49265675219,574,1132.85527041939,1.35806638052065,0.306061909032176,0.572678588128721,539,0.0861460984507896,1,2021,13,NA,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,703,1516.62578624442,631,1377.20805492665,1.10123214921597,0.0964296885713548,-0.216580834383435,631,0.0796187428658033,2,1819,10,NA,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,704,1533.68731042095,676,1420.05240239937,1.08002163006772,0.0769810687760564,0.0533810534680748,676,0.0769230769230769,8,2223,8,0.456435464587638,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
